IDTARJETA,TIPO,NUMERO,MONTO,MONEDA
106,jcb,201706666682710,10000,Yuan Renminbi
107,diners-club-enroute,201706666682710,10000,Yuan Renminbi
108,diners-club-carte-blanche,201706666682710,10000,Peso
109,visa-electron,201706666682710,10000,Ruble
110,mastercard,201706666682710,10000,Real
111,laser,201706666682710,10000,Ruble
112,jcb,201706666682710,10000,Ariary
113,switch,201706666682710,10000,Euro
114,jcb,201706666682710,10000,Yuan Renminbi
115,jcb,201706666682710,10000,Koruna
116,americanexpress,201706666682710,10000,Euro
117,jcb,201706666682710,10000,Peso
118,jcb,201706666682710,10000,Real
119,jcb,201706666682710,10000,Yuan Renminbi
120,visa-electron,201706666682710,10000,Peso
121,jcb,201706666682710,10000,Euro
122,jcb,201706666682710,10000,Kuna
123,jcb,201706666682710,10000,Koruna
124,maestro,201706666682710,10000,Real
125,mastercard,201706666682710,10000,Rupiah
126,visa,201706666682710,10000,Dollar
127,jcb,201706666682710,10000,Lev
128,jcb,201706666682710,10000,Peso
129,jcb,201706666682710,10000,Rupiah
130,switch,201706666682710,10000,Kyat
131,americanexpress,201706666682710,10000,Euro
132,visa-electron,201706666682710,10000,Yuan Renminbi
133,switch,201706666682710,10000,Rupiah
134,bankcard,201706666682710,10000,Ruble
135,jcb,201706666682710,10000,Yuan Renminbi
136,diners-club-carte-blanche,201706666682710,10000,Euro
137,jcb,201706666682710,10000,Dollar
138,jcb,201706666682710,10000,Rupiah
139,mastercard,201706666682710,10000,Rupee
140,diners-club-international,201706666682710,10000,Euro
141,switch,201706666682710,10000,Kyat
142,americanexpress,201706666682710,10000,Euro
143,jcb,201706666682710,10000,Yuan Renminbi
144,jcb,201706666682710,10000,Kuna
145,switch,201706666682710,10000,Euro
146,switch,201706666682710,10000,Yuan Renminbi
147,jcb,201706666682710,10000,Ruble
148,jcb,201706666682710,10000,Dollar
149,diners-club-carte-blanche,201706666682710,10000,Krona
150,diners-club-carte-blanche,201706666682710,10000,Won
151,mastercard,201706666682710,10000,Sol
152,bankcard,201706666682710,10000,Franc
153,china-unionpay,201706666682710,10000,Krona
154,jcb,201706666682710,10000,Ruble
155,jcb,201706666682710,10000,Euro
156,americanexpress,201706666682710,10000,Naira
157,jcb,201706666682710,10000,Yuan Renminbi
158,jcb,201706666682710,10000,Yuan Renminbi
159,visa,201706666682710,10000,Yuan Renminbi
160,visa-electron,201706666682710,10000,Yuan Renminbi
161,jcb,201706666682710,10000,Dinar
162,jcb,201706666682710,10000,Shilling
163,diners-club-carte-blanche,201706666682710,10000,Yuan Renminbi
164,visa,201706666682710,10000,Ruble
165,visa,201706666682710,10000,Euro
166,jcb,201706666682710,10000,Euro
167,jcb,201706666682710,10000,Krona
168,jcb,201706666682710,10000,Pound
169,instapayment,201706666682710,10000,Peso
170,bankcard,201706666682710,10000,Euro
171,solo,201706666682710,10000,Dinar
172,visa-electron,201706666682710,10000,Rupiah
173,bankcard,201706666682710,10000,Real
174,switch,201706666682710,10000,Baht
175,mastercard,201706666682710,10000,Franc
176,switch,201706666682710,10000,Ruble
177,jcb,201706666682710,10000,Kwacha
178,visa-electron,201706666682710,10000,Peso
179,diners-club-carte-blanche,201706666682710,10000,Rupiah
180,diners-club-international,201706666682710,10000,Shekel
181,jcb,201706666682710,10000,Dinar
182,jcb,201706666682710,10000,Rupiah
183,americanexpress,201706666682710,10000,Real
184,bankcard,201706666682710,10000,Sol
185,solo,201706666682710,10000,Lev
186,china-unionpay,201706666682710,10000,Rupiah
187,jcb,201706666682710,10000,Rupiah
188,jcb,201706666682710,10000,Rupiah
189,visa-electron,201706666682710,10000,Peso
190,china-unionpay,201706666682710,10000,Real
191,jcb,201706666682710,10000,Yuan Renminbi
192,jcb,201706666682710,10000,Manat
193,mastercard,201706666682710,10000,Guarani
194,maestro,201706666682710,10000,Tenge
195,jcb,201706666682710,10000,Yuan Renminbi
196,maestro,201706666682710,10000,Taka
197,solo,201706666682710,10000,Zloty
198,solo,201706666682710,10000,Peso
199,laser,201706666682710,10000,Ruble
200,jcb,201706666682710,10000,Dram
201,visa-electron,201706666682710,10000,Euro
202,china-unionpay,201706666682710,10000,Yuan Renminbi
203,china-unionpay,201706666682710,10000,Naira
204,switch,201706666682710,10000,Peso
205,americanexpress,201706666682710,10000,Euro
206,switch,201706666682710,10000,Peso
207,switch,201706666682710,10000,Sol
208,china-unionpay,201706666682710,10000,Euro
209,jcb,201706666682710,10000,Rupiah
210,maestro,201706666682710,10000,Rial
211,maestro,201706666682710,10000,Euro
212,laser,201706666682710,10000,Rupiah
213,maestro,201706666682710,10000,Rial
214,switch,201706666682710,10000,Rupiah
215,maestro,201706666682710,10000,Koruna
216,diners-club-enroute,201706666682710,10000,Rupiah
217,jcb,201706666682710,10000,Rupiah
218,mastercard,201706666682710,10000,Dong
219,maestro,201706666682710,10000,Ruble
220,maestro,201706666682710,10000,Euro
221,mastercard,201706666682710,10000,Yuan Renminbi
222,maestro,201706666682710,10000,Peso
223,solo,201706666682710,10000,Euro
224,laser,201706666682710,10000,Krone
225,instapayment,201706666682710,10000,Yuan Renminbi
226,mastercard,201706666682710,10000,Real
227,jcb,201706666682710,10000,Krona
228,jcb,201706666682710,10000,Rupiah
229,jcb,201706666682710,10000,Rupiah
230,maestro,201706666682710,10000,Rupiah
231,diners-club-enroute,201706666682710,10000,Yuan Renminbi
232,mastercard,201706666682710,10000,Dollar
233,solo,201706666682710,10000,Rupiah
234,jcb,201706666682710,10000,Zloty
235,jcb,201706666682710,10000,Yuan Renminbi
236,visa-electron,201706666682710,10000,Dollar
237,visa,201706666682710,10000,Krona
238,china-unionpay,201706666682710,10000,Kuna
239,diners-club-enroute,201706666682710,10000,Zloty
240,jcb,201706666682710,10000,Euro
241,diners-club-carte-blanche,201706666682710,10000,Dollar
242,visa-electron,201706666682710,10000,Yuan Renminbi
243,mastercard,201706666682710,10000,Yuan Renminbi
244,jcb,201706666682710,10000,Koruna
245,diners-club-carte-blanche,201706666682710,10000,Yuan Renminbi
246,switch,201706666682710,10000,Franc
247,jcb,201706666682710,10000,Euro
248,visa-electron,201706666682710,10000,Dollar
249,diners-club-enroute,201706666682710,10000,Somoni
250,jcb,201706666682710,10000,Euro
251,jcb,201706666682710,10000,Zloty
252,china-unionpay,201706666682710,10000,Won
253,mastercard,201706666682710,10000,Euro
254,jcb,201706666682710,10000,Euro
255,china-unionpay,201706666682710,10000,Yuan Renminbi
256,jcb,201706666682710,10000,Rupiah
257,instapayment,201706666682710,10000,Afghani
258,jcb,201706666682710,10000,Dollar
259,maestro,201706666682710,10000,Manat
260,china-unionpay,201706666682710,10000,Dong
261,bankcard,201706666682710,10000,Yuan Renminbi
262,diners-club-carte-blanche,201706666682710,10000,Yuan Renminbi
263,maestro,201706666682710,10000,Yuan Renminbi
264,jcb,201706666682710,10000,Lari
265,diners-club-carte-blanche,201706666682710,10000,Marka
266,visa,201706666682710,10000,Yuan Renminbi
267,mastercard,201706666682710,10000,Euro
268,jcb,201706666682710,10000,Shilling
269,jcb,201706666682710,10000,Sol
270,jcb,201706666682710,10000,Pound
271,china-unionpay,201706666682710,10000,Hryvnia
272,jcb,201706666682710,10000,Lempira
273,jcb,201706666682710,10000,Euro
274,switch,201706666682710,10000,Ruble
275,visa-electron,201706666682710,10000,Rupiah
276,jcb,201706666682710,10000,Yuan Renminbi
277,mastercard,201706666682710,10000,Peso
278,jcb,201706666682710,10000,Rupiah
279,jcb,201706666682710,10000,Dirham
280,china-unionpay,201706666682710,10000,Rupiah
281,jcb,201706666682710,10000,Dong
282,diners-club-carte-blanche,201706666682710,10000,Dollar
283,americanexpress,201706666682710,10000,Real
284,diners-club-carte-blanche,201706666682710,10000,Rupiah
285,jcb,201706666682710,10000,Baht
286,solo,201706666682710,10000,Yuan Renminbi
287,diners-club-international,201706666682710,10000,Cordoba
288,solo,201706666682710,10000,Dinar
289,laser,201706666682710,10000,Peso
290,jcb,201706666682710,10000,Franc
291,switch,201706666682710,10000,Shilling
292,jcb,201706666682710,10000,Yen
293,jcb,201706666682710,10000,Euro
294,jcb,201706666682710,10000,Yuan Renminbi
295,maestro,201706666682710,10000,Dirham
296,mastercard,201706666682710,10000,Real
297,jcb,201706666682710,10000,Real
298,jcb,201706666682710,10000,Peso
299,jcb,201706666682710,10000,Rupiah
300,instapayment,201706666682710,10000,Euro
301,mastercard,201706666682710,10000,Rupiah
302,switch,201706666682710,10000,Krone
303,china-unionpay,201706666682710,10000,Euro
304,visa-electron,201706666682710,10000,Yuan Renminbi
305,mastercard,201706666682710,10000,Koruna
306,jcb,201706666682710,10000,Naira
307,china-unionpay,201706666682710,10000,Ruble
308,jcb,201706666682710,10000,Euro
309,mastercard,201706666682710,10000,Zloty
310,americanexpress,201706666682710,10000,Ruble
311,jcb,201706666682710,10000,Yuan Renminbi
312,bankcard,201706666682710,10000,Tugrik
313,bankcard,201706666682710,10000,Euro
314,mastercard,201706666682710,10000,Baht
315,solo,201706666682710,10000,Yen
316,jcb,201706666682710,10000,Zloty
317,jcb,201706666682710,10000,Baht
318,maestro,201706666682710,10000,Yuan Renminbi
319,visa-electron,201706666682710,10000,Yuan Renminbi
320,mastercard,201706666682710,10000,Euro
321,laser,201706666682710,10000,Dollar
322,americanexpress,201706666682710,10000,Rupiah
323,diners-club-us-ca,201706666682710,10000,Sol
324,china-unionpay,201706666682710,10000,Rial
325,jcb,201706666682710,10000,Rupiah
326,switch,201706666682710,10000,Real
327,jcb,201706666682710,10000,Yuan Renminbi
328,jcb,201706666682710,10000,Dollar
329,jcb,201706666682710,10000,Rupiah
330,jcb,201706666682710,10000,Koruna
331,americanexpress,201706666682710,10000,Yuan Renminbi
332,americanexpress,201706666682710,10000,Real
333,diners-club-carte-blanche,201706666682710,10000,Euro
334,solo,201706666682710,10000,Euro
335,jcb,201706666682710,10000,Yuan Renminbi
336,switch,201706666682710,10000,Dollar
337,china-unionpay,201706666682710,10000,Shilling
338,maestro,201706666682710,10000,Ruble
339,diners-club-us-ca,201706666682710,10000,Yuan Renminbi
340,bankcard,201706666682710,10000,Euro
341,jcb,201706666682710,10000,Krona
342,bankcard,201706666682710,10000,Yuan Renminbi
343,china-unionpay,201706666682710,10000,Yuan Renminbi
344,maestro,201706666682710,10000,Pula
345,jcb,201706666682710,10000,Rupiah
346,jcb,201706666682710,10000,Yuan Renminbi
347,jcb,201706666682710,10000,Euro
348,visa-electron,201706666682710,10000,Peso
349,jcb,201706666682710,10000,Rupiah
350,jcb,201706666682710,10000,Rupiah
351,visa-electron,201706666682710,10000,Euro
352,switch,201706666682710,10000,Real
353,jcb,201706666682710,10000,Euro
354,mastercard,201706666682710,10000,Peso
355,bankcard,201706666682710,10000,Peso
356,diners-club-enroute,201706666682710,10000,Denar
357,instapayment,201706666682710,10000,Manat
358,maestro,201706666682710,10000,Rupiah
359,laser,201706666682710,10000,Ruble
360,jcb,201706666682710,10000,Rupiah
361,solo,201706666682710,10000,Euro
362,china-unionpay,201706666682710,10000,Rupiah
363,jcb,201706666682710,10000,Taka
364,switch,201706666682710,10000,Ruble
365,visa,201706666682710,10000,Rand
366,bankcard,201706666682710,10000,Krona
367,diners-club-enroute,201706666682710,10000,Yuan Renminbi
368,jcb,201706666682710,10000,Yuan Renminbi
369,jcb,201706666682710,10000,Shilling
370,switch,201706666682710,10000,Euro
371,switch,201706666682710,10000,Krone
372,jcb,201706666682710,10000,Rupiah
373,jcb,201706666682710,10000,Baht
374,switch,201706666682710,10000,Krona
375,instapayment,201706666682710,10000,Zloty
376,mastercard,201706666682710,10000,Yuan Renminbi
377,jcb,201706666682710,10000,Som
378,jcb,201706666682710,10000,Dollar
379,jcb,201706666682710,10000,Euro
380,jcb,201706666682710,10000,Franc
381,jcb,201706666682710,10000,Yen
382,instapayment,201706666682710,10000,Krona
383,bankcard,201706666682710,10000,Yuan Renminbi
384,switch,201706666682710,10000,Euro
385,visa,201706666682710,10000,Peso
386,jcb,201706666682710,10000,Baht
387,jcb,201706666682710,10000,Zloty
388,visa-electron,201706666682710,10000,Euro
389,americanexpress,201706666682710,10000,Rupiah
390,visa-electron,201706666682710,10000,Ruble
391,americanexpress,201706666682710,10000,Ruble
392,diners-club-carte-blanche,201706666682710,10000,Euro
393,jcb,201706666682710,10000,Euro
394,jcb,201706666682710,10000,Yuan Renminbi
395,mastercard,201706666682710,10000,Peso
396,americanexpress,201706666682710,10000,Boliviano
397,instapayment,201706666682710,10000,Naira
398,jcb,201706666682710,10000,Ruble
399,visa-electron,201706666682710,10000,Dinar
400,jcb,201706666682710,10000,Baht
401,jcb,201706666682710,10000,Hryvnia
402,maestro,201706666682710,10000,Yuan Renminbi
403,jcb,201706666682710,10000,Yuan Renminbi
404,jcb,201706666682710,10000,Euro
405,diners-club-enroute,201706666682710,10000,Krona
406,diners-club-carte-blanche,201706666682710,10000,Ruble
407,jcb,201706666682710,10000,Franc
408,jcb,201706666682710,10000,Euro
409,maestro,201706666682710,10000,Yuan Renminbi
410,instapayment,201706666682710,10000,Dollar
411,jcb,201706666682710,10000,Koruna
412,visa-electron,201706666682710,10000,Peso
413,jcb,201706666682710,10000,Yuan Renminbi
414,bankcard,201706666682710,10000,Shilling
415,jcb,201706666682710,10000,Krona
416,mastercard,201706666682710,10000,Zloty
417,jcb,201706666682710,10000,Pound
418,jcb,201706666682710,10000,Peso
419,jcb,201706666682710,10000,Dong
420,maestro,201706666682710,10000,Hryvnia
421,jcb,201706666682710,10000,Peso
422,jcb,201706666682710,10000,Yen
423,jcb,201706666682710,10000,Ruble
424,china-unionpay,201706666682710,10000,Peso
425,jcb,201706666682710,10000,Yuan Renminbi
426,instapayment,201706666682710,10000,Dong
427,mastercard,201706666682710,10000,Ruble
428,jcb,201706666682710,10000,Rupiah
429,visa-electron,201706666682710,10000,Dollar
430,mastercard,201706666682710,10000,Baht
431,jcb,201706666682710,10000,Sol
432,switch,201706666682710,10000,Rupiah
433,switch,201706666682710,10000,Yuan Renminbi
434,jcb,201706666682710,10000,Euro
435,china-unionpay,201706666682710,10000,Euro
436,switch,201706666682710,10000,Yuan Renminbi
437,americanexpress,201706666682710,10000,Dollar
438,jcb,201706666682710,10000,Som
439,mastercard,201706666682710,10000,Yuan Renminbi
440,instapayment,201706666682710,10000,Euro
441,jcb,201706666682710,10000,Lek
442,maestro,201706666682710,10000,Rupiah
443,mastercard,201706666682710,10000,Shekel
444,jcb,201706666682710,10000,Yuan Renminbi
445,china-unionpay,201706666682710,10000,Quetzal
446,laser,201706666682710,10000,Rial
447,china-unionpay,201706666682710,10000,Rupiah
448,jcb,201706666682710,10000,Rupiah
449,jcb,201706666682710,10000,Franc
450,diners-club-carte-blanche,201706666682710,10000,Real
451,visa,201706666682710,10000,Peso
452,switch,201706666682710,10000,Yuan Renminbi
453,jcb,201706666682710,10000,Ruble
454,china-unionpay,201706666682710,10000,Sol
455,jcb,201706666682710,10000,Euro
456,bankcard,201706666682710,10000,Yuan Renminbi
457,diners-club-carte-blanche,201706666682710,10000,Afghani
458,jcb,201706666682710,10000,Dollar
459,mastercard,201706666682710,10000,Denar
460,americanexpress,201706666682710,10000,Rupiah
461,bankcard,201706666682710,10000,Yuan Renminbi
462,mastercard,201706666682710,10000,Rupiah
463,jcb,201706666682710,10000,Rupiah
464,jcb,201706666682710,10000,Ruble
465,switch,201706666682710,10000,Rupiah
466,jcb,201706666682710,10000,Hryvnia
467,diners-club-enroute,201706666682710,10000,Hryvnia
468,switch,201706666682710,10000,Euro
469,bankcard,201706666682710,10000,Shilling
470,jcb,201706666682710,10000,Real
471,jcb,201706666682710,10000,Peso
472,diners-club-carte-blanche,201706666682710,10000,Peso
473,bankcard,201706666682710,10000,Rupiah
474,visa-electron,201706666682710,10000,Rupiah
475,visa-electron,201706666682710,10000,Zloty
476,jcb,201706666682710,10000,Peso
477,china-unionpay,201706666682710,10000,Ruble
478,jcb,201706666682710,10000,Peso
479,mastercard,201706666682710,10000,Euro
480,jcb,201706666682710,10000,Dollar
481,jcb,201706666682710,10000,Euro
482,switch,201706666682710,10000,Denar
483,jcb,201706666682710,10000,Euro
484,jcb,201706666682710,10000,Ruble
485,jcb,201706666682710,10000,Zloty
486,jcb,201706666682710,10000,Forint
487,visa-electron,201706666682710,10000,Rupiah
488,instapayment,201706666682710,10000,Dollar
489,visa-electron,201706666682710,10000,Rupiah
490,visa-electron,201706666682710,10000,Zloty
491,mastercard,201706666682710,10000,Rupee
492,jcb,201706666682710,10000,Peso
493,jcb,201706666682710,10000,Euro
494,jcb,201706666682710,10000,Ruble
495,jcb,201706666682710,10000,Lempira
496,mastercard,201706666682710,10000,Yuan Renminbi
497,solo,201706666682710,10000,Rupiah
498,jcb,201706666682710,10000,Zloty
499,maestro,201706666682710,10000,Rupiah
500,diners-club-enroute,201706666682710,10000,Real
501,jcb,201706666682710,10000,Baht
502,jcb,201706666682710,10000,Krona
503,jcb,201706666682710,10000,Ruble
504,jcb,201706666682710,10000,Bolivar
505,jcb,201706666682710,10000,Yuan Renminbi
506,jcb,201706666682710,10000,Baht
507,jcb,201706666682710,10000,Rupiah
508,switch,201706666682710,10000,Krone
509,visa-electron,201706666682710,10000,Yen
510,americanexpress,201706666682710,10000,Pound
511,jcb,201706666682710,10000,Rupiah
512,visa,201706666682710,10000,Euro
513,diners-club-enroute,201706666682710,10000,Tenge
514,jcb,201706666682710,10000,Yuan Renminbi
515,china-unionpay,201706666682710,10000,Kuna
516,maestro,201706666682710,10000,Rial
517,jcb,201706666682710,10000,Yuan Renminbi
518,visa-electron,201706666682710,10000,Marka
519,jcb,201706666682710,10000,Yen
520,china-unionpay,201706666682710,10000,Yuan Renminbi
521,mastercard,201706666682710,10000,Rupiah
522,americanexpress,201706666682710,10000,Naira
523,jcb,201706666682710,10000,Yuan Renminbi
524,americanexpress,201706666682710,10000,Yuan Renminbi
525,maestro,201706666682710,10000,Euro
526,maestro,201706666682710,10000,Krona
527,bankcard,201706666682710,10000,Yen
528,mastercard,201706666682710,10000,Peso
529,laser,201706666682710,10000,Yuan Renminbi
530,instapayment,201706666682710,10000,Euro
531,jcb,201706666682710,10000,Peso
532,mastercard,201706666682710,10000,Hryvnia
533,jcb,201706666682710,10000,Lek
534,jcb,201706666682710,10000,Shilling
535,jcb,201706666682710,10000,Zloty
536,instapayment,201706666682710,10000,Ruble
537,jcb,201706666682710,10000,Kuna
538,jcb,201706666682710,10000,Rupiah
539,jcb,201706666682710,10000,Krona
540,mastercard,201706666682710,10000,Yuan Renminbi
541,instapayment,201706666682710,10000,Sol
542,mastercard,201706666682710,10000,Yen
543,mastercard,201706666682710,10000,Shilling
544,switch,201706666682710,10000,Dollar
545,jcb,201706666682710,10000,Real
546,bankcard,201706666682710,10000,Real
547,jcb,201706666682710,10000,Rupiah
548,bankcard,201706666682710,10000,Euro
549,instapayment,201706666682710,10000,Yuan Renminbi
550,jcb,201706666682710,10000,Baht
551,jcb,201706666682710,10000,Ruble
552,china-unionpay,201706666682710,10000,Krona
553,jcb,201706666682710,10000,Dollar
554,visa-electron,201706666682710,10000,Yuan Renminbi
555,jcb,201706666682710,10000,Rupiah
556,china-unionpay,201706666682710,10000,Hryvnia
557,visa-electron,201706666682710,10000,Real
558,mastercard,201706666682710,10000,Pound
559,switch,201706666682710,10000,Dollar
560,bankcard,201706666682710,10000,Yuan Renminbi
561,diners-club-us-ca,201706666682710,10000,Dollar
562,jcb,201706666682710,10000,Yuan Renminbi
563,jcb,201706666682710,10000,Yuan Renminbi
564,mastercard,201706666682710,10000,Zloty
565,mastercard,201706666682710,10000,Rupiah
566,maestro,201706666682710,10000,Real
567,jcb,201706666682710,10000,Rial
568,switch,201706666682710,10000,Peso
569,diners-club-international,201706666682710,10000,Peso
570,jcb,201706666682710,10000,Peso
571,visa-electron,201706666682710,10000,Peso
572,jcb,201706666682710,10000,Ruble
573,jcb,201706666682710,10000,Naira
574,americanexpress,201706666682710,10000,Krone
575,visa,201706666682710,10000,Yuan Renminbi
576,china-unionpay,201706666682710,10000,Euro
577,jcb,201706666682710,10000,Gourde
578,maestro,201706666682710,10000,Rupiah
579,solo,201706666682710,10000,Krona
580,mastercard,201706666682710,10000,Yuan Renminbi
581,jcb,201706666682710,10000,Yuan Renminbi
582,visa,201706666682710,10000,Rupiah
583,jcb,201706666682710,10000,Real
584,solo,201706666682710,10000,Dollar
585,jcb,201706666682710,10000,Euro
586,laser,201706666682710,10000,Yuan Renminbi
587,jcb,201706666682710,10000,Yuan Renminbi
588,mastercard,201706666682710,10000,Rupiah
589,jcb,201706666682710,10000,Yuan Renminbi
590,jcb,201706666682710,10000,Dram
591,jcb,201706666682710,10000,Euro
592,mastercard,201706666682710,10000,Dollar
593,jcb,201706666682710,10000,Lempira
594,maestro,201706666682710,10000,Krona
595,jcb,201706666682710,10000,Rupiah
596,jcb,201706666682710,10000,Lek
597,diners-club-enroute,201706666682710,10000,Yen
598,jcb,201706666682710,10000,Zloty
599,mastercard,201706666682710,10000,Euro
600,jcb,201706666682710,10000,Yuan Renminbi
601,jcb,201706666682710,10000,Rupiah
602,bankcard,201706666682710,10000,Yuan Renminbi
603,jcb,201706666682710,10000,Yuan Renminbi
604,china-unionpay,201706666682710,10000,Won
605,americanexpress,201706666682710,10000,Dinar
606,jcb,201706666682710,10000,Krona
607,jcb,201706666682710,10000,Rupiah
608,maestro,201706666682710,10000,Real
609,jcb,201706666682710,10000,Yuan Renminbi
610,bankcard,201706666682710,10000,Yuan Renminbi
611,mastercard,201706666682710,10000,Zloty
612,laser,201706666682710,10000,Birr
613,jcb,201706666682710,10000,Rupiah
614,maestro,201706666682710,10000,Tugrik
615,jcb,201706666682710,10000,Naira
616,switch,201706666682710,10000,Dollar
617,jcb,201706666682710,10000,Rupiah
618,maestro,201706666682710,10000,Dollar
619,jcb,201706666682710,10000,Krona
620,jcb,201706666682710,10000,Shekel
621,americanexpress,201706666682710,10000,Rupiah
622,maestro,201706666682710,10000,Rial
623,jcb,201706666682710,10000,Peso
624,jcb,201706666682710,10000,Rupiah
625,jcb,201706666682710,10000,Peso
626,jcb,201706666682710,10000,Yuan Renminbi
627,jcb,201706666682710,10000,Lempira
628,china-unionpay,201706666682710,10000,Euro
629,jcb,201706666682710,10000,Yuan Renminbi
630,visa,201706666682710,10000,Peso
631,jcb,201706666682710,10000,Yuan Renminbi
632,visa,201706666682710,10000,Peso
633,maestro,201706666682710,10000,Bolivar
634,visa,201706666682710,10000,Euro
635,jcb,201706666682710,10000,Euro
636,switch,201706666682710,10000,Rupiah
637,jcb,201706666682710,10000,Yuan Renminbi
638,china-unionpay,201706666682710,10000,Euro
639,mastercard,201706666682710,10000,Krone
640,visa-electron,201706666682710,10000,Krona
641,switch,201706666682710,10000,Zloty
642,jcb,201706666682710,10000,Koruna
643,laser,201706666682710,10000,Euro
644,china-unionpay,201706666682710,10000,Ruble
645,maestro,201706666682710,10000,Yuan Renminbi
646,instapayment,201706666682710,10000,Yuan Renminbi
647,mastercard,201706666682710,10000,Koruna
648,jcb,201706666682710,10000,Peso
649,jcb,201706666682710,10000,Franc
650,switch,201706666682710,10000,Peso
651,jcb,201706666682710,10000,Peso
652,jcb,201706666682710,10000,Euro
653,jcb,201706666682710,10000,Leone
